schoolId,prefectureId,year,nationalBest,regionalBest
1825,58,2017,64,1
434,58,2017,,2
3426,58,2017,,4
1120,58,2017,,4
5033,58,2017,,8
2424,58,2017,,8
3363,58,2017,,8
959,58,2017,,8
1543,58,2016,32,1
1825,58,2016,,2
889,58,2016,,4
479,58,2016,,4
1100,58,2016,,8
1120,58,2016,,8
3386,58,2016,,8
2036,58,2016,,8
434,58,2015,64,1
479,58,2015,,2
3714,58,2015,,4
5033,58,2015,,4
3176,58,2015,,8
380,58,2015,,8
1898,58,2015,,8
1316,58,2015,,8
5033,58,2014,32,1
1100,58,2014,,2
1120,58,2014,,4
1316,58,2014,,4
5062,58,2014,,8
4381,58,2014,,8
2618,58,2014,,8
2867,58,2014,,8
959,58,2013,64,1
605,58,2013,,2
4315,58,2013,,4
3426,58,2013,,4
1825,58,2013,,8
4386,58,2013,,8
2036,58,2013,,8
4079,58,2013,,8
683,59,2017,32,1
1104,59,2017,,2
2747,59,2017,,4
4571,59,2017,,4
2764,59,2017,,8
103,59,2017,,8
3724,59,2017,,8
1270,59,2017,,8
683,59,2016,2,1
2764,59,2016,,2
1104,59,2016,,4
3685,59,2016,,4
3326,59,2016,,8
4800,59,2016,,8
4268,59,2016,,8
1270,59,2016,,8
683,59,2015,64,1
4800,59,2015,,2
3240,59,2015,,4
110,59,2015,,4
3724,59,2015,,8
1888,59,2015,,8
2747,59,2015,,8
103,59,2015,,8
110,59,2014,32,1
3240,59,2014,,2
4768,59,2014,,4
2764,59,2014,,4
2748,59,2014,,8
3685,59,2014,,8
2182,59,2014,,8
103,59,2014,,8
4800,59,2013,64,1
103,59,2013,,2
3724,59,2013,,4
4530,59,2013,,4
422,59,2013,,8
110,59,2013,,8
676,59,2013,,8
1270,59,2013,,8
236,1,2017,16,1
2306,1,2017,,2
3331,1,2017,,4
58,1,2017,,4
1492,1,2017,,8
376,1,2017,,8
2587,1,2017,,8
3892,1,2017,,8
2306,1,2016,32,1
1409,1,2016,,2
3331,1,2016,,4
2049,1,2016,,4
2493,1,2016,,8
1492,1,2016,,8
58,1,2016,,8
1454,1,2016,,8
1300,1,2015,32,1
2306,1,2015,,2
3111,1,2015,,4
4483,1,2015,,4
2493,1,2015,,8
3331,1,2015,,8
1927,1,2015,,8
58,1,2015,,8
2306,1,2014,8,1
3111,1,2014,,2
3331,1,2014,,4
236,1,2014,,4
1454,1,2014,,8
1913,1,2014,,8
58,1,2014,,8
4070,1,2014,,8
3331,1,2013,16,1
4249,1,2013,,2
236,1,2013,,4
2049,1,2013,,4
2306,1,2013,,8
4070,1,2013,,8
58,1,2013,,8
4144,1,2013,,8
5042,2,2017,8,1
4591,2,2017,,2
416,2,2017,,4
3908,2,2017,,4
992,2,2017,,8
3812,2,2017,,8
609,2,2017,,8
2878,2,2017,,8
5042,2,2016,16,1
2537,2,2016,,2
5216,2,2016,,4
421,2,2016,,4
992,2,2016,,8
4551,2,2016,,8
4624,2,2016,,8
2878,2,2016,,8
3836,2,2015,16,1
2537,2,2015,,2
1347,2,2015,,4
5216,2,2015,,4
421,2,2015,,8
4591,2,2015,,8
5042,2,2015,,8
3886,2,2015,,8
5042,2,2014,16,1
3836,2,2014,,2
5216,2,2014,,4
4007,2,2014,,4
1249,2,2014,,8
4667,2,2014,,8
421,2,2014,,8
3908,2,2014,,8
3836,2,2013,2,1
5042,2,2013,,2
2537,2,2013,,4
3908,2,2013,,4
5187,2,2013,,8
2105,2,2013,,8
2150,2,2013,,8
4667,2,2013,,8
2814,3,2017,8,1
71,3,2017,,2
2731,3,2017,,4
2410,3,2017,,4
3422,3,2017,,8
1431,3,2017,,8
1404,3,2017,,8
1423,3,2017,,8
71,3,2016,64,1
2149,3,2016,,2
2814,3,2016,,4
2410,3,2016,,4
4735,3,2016,,8
2407,3,2016,,8
4936,3,2016,,8
4716,3,2016,,8
2814,3,2015,2,1
3550,3,2015,,2
3196,3,2015,,4
2407,3,2015,,4
2731,3,2015,,8
2068,3,2015,,8
3574,3,2015,,8
2949,3,2015,,8
2149,3,2014,32,1
4716,3,2014,,2
4832,3,2014,,4
1811,3,2014,,4
1438,3,2014,,8
1098,3,2014,,8
3196,3,2014,,8
71,3,2014,,8
2814,3,2013,32,1
4936,3,2013,,2
3422,3,2013,,4
2731,3,2013,,4
1290,3,2013,,8
4096,3,2013,,8
94,3,2013,,8
4832,3,2013,,8
2111,4,2017,32,1
963,4,2017,,2
3264,4,2017,,4
2778,4,2017,,4
699,4,2017,,8
3125,4,2017,,8
4197,4,2017,,8
2172,4,2017,,8
2778,4,2016,64,1
2053,4,2016,,2
2346,4,2016,,4
4999,4,2016,,4
699,4,2016,,8
4197,4,2016,,8
5023,4,2016,,8
1248,4,2016,,8
1248,4,2015,8,1
2440,4,2015,,2
699,4,2015,,4
4257,4,2015,,4
2773,4,2015,,8
4197,4,2015,,8
2111,4,2015,,8
3979,4,2015,,8
2053,4,2014,32,1
699,4,2014,,2
2778,4,2014,,4
1812,4,2014,,4
2773,4,2014,,8
3979,4,2014,,8
2871,4,2014,,8
2440,4,2014,,8
1248,4,2013,32,1
2053,4,2013,,2
963,4,2013,,4
4940,4,2013,,4
3912,4,2013,,8
3125,4,2013,,8
2732,4,2013,,8
2111,4,2013,,8
981,5,2017,64,1
1101,5,2017,,2
1260,5,2017,,4
601,5,2017,,4
624,5,2017,,8
1881,5,2017,,8
503,5,2017,,8
3872,5,2017,,8
4925,5,2016,64,1
1101,5,2016,,2
385,5,2016,,4
1260,5,2016,,4
1148,5,2016,,8
981,5,2016,,8
624,5,2016,,8
2532,5,2016,,8
4925,5,2015,16,1
1881,5,2015,,2
2845,5,2015,,4
1101,5,2015,,4
385,5,2015,,8
601,5,2015,,8
1260,5,2015,,8
624,5,2015,,8
1101,5,2014,16,1
1260,5,2014,,2
981,5,2014,,4
4925,5,2014,,4
2845,5,2014,,8
601,5,2014,,8
603,5,2014,,8
2528,5,2014,,8
981,5,2013,2,1
385,5,2013,,2
1260,5,2013,,4
1101,5,2013,,4
4925,5,2013,,8
2872,5,2013,,8
1857,5,2013,,8
2532,5,2013,,8
1771,6,2017,16,1
5108,6,2017,,2
3752,6,2017,,4
5120,6,2017,,4
2290,6,2017,,8
3840,6,2017,,8
147,6,2017,,8
896,6,2017,,8
1771,6,2016,8,1
147,6,2016,,2
442,6,2016,,4
3752,6,2016,,4
896,6,2016,,8
3840,6,2016,,8
2776,6,2016,,8
2208,6,2016,,8
1771,6,2015,32,1
3752,6,2015,,2
381,6,2015,,4
5120,6,2015,,4
1963,6,2015,,8
3401,6,2015,,8
1614,6,2015,,8
247,6,2015,,8
1771,6,2014,8,1
3752,6,2014,,2
4555,6,2014,,4
5108,6,2014,,4
5120,6,2014,,8
4518,6,2014,,8
1056,6,2014,,8
896,6,2014,,8
1771,6,2013,32,1
3752,6,2013,,2
2208,6,2013,,4
988,6,2013,,4
896,6,2013,,8
147,6,2013,,8
4518,6,2013,,8
4555,6,2013,,8
3664,8,2017,64,1
4140,8,2017,,2
3192,8,2017,,4
4171,8,2017,,4
2998,8,2017,,8
2475,8,2017,,8
638,8,2017,,8
4521,8,2017,,8
638,8,2016,8,1
4670,8,2016,,2
4140,8,2016,,4
3192,8,2016,,4
2998,8,2016,,8
4267,8,2016,,8
4521,8,2016,,8
1472,8,2016,,8
4140,8,2015,64,1
4258,8,2015,,2
1560,8,2015,,4
4670,8,2015,,4
626,8,2015,,8
2998,8,2015,,8
3192,8,2015,,8
2689,8,2015,,8
4171,8,2014,64,1
4140,8,2014,,2
4408,8,2014,,4
638,8,2014,,4
2466,8,2014,,8
2142,8,2014,,8
4873,8,2014,,8
2689,8,2014,,8
638,8,2013,8,1
4140,8,2013,,2
4174,8,2013,,4
2998,8,2013,,4
4670,8,2013,,8
4258,8,2013,,8
4620,8,2013,,8
3192,8,2013,,8
2320,7,2017,64,1
3978,7,2017,,2
591,7,2017,,4
1430,7,2017,,4
2826,7,2017,,8
4761,7,2017,,8
2324,7,2017,,8
915,7,2017,,8
2320,7,2016,1,1
3978,7,2016,,2
4739,7,2016,,4
2826,7,2016,,4
591,7,2016,,8
1639,7,2016,,8
1430,7,2016,,8
300,7,2016,,8
2320,7,2015,16,1
3978,7,2015,,2
591,7,2015,,4
915,7,2015,,4
2319,7,2015,,8
2594,7,2015,,8
1430,7,2015,,8
867,7,2015,,8
2320,7,2014,32,1
2123,7,2014,,2
2319,7,2014,,4
915,7,2014,,4
4739,7,2014,,8
591,7,2014,,8
3978,7,2014,,8
2495,7,2014,,8
2320,7,2013,16,1
591,7,2013,,2
2123,7,2013,,4
915,7,2013,,4
2600,7,2013,,8
867,7,2013,,8
3283,7,2013,,8
1376,7,2013,,8
2148,13,2017,16,1
4722,13,2017,,2
2558,13,2017,,4
5067,13,2017,,4
4458,13,2017,,8
5024,13,2017,,8
2700,13,2017,,8
4536,13,2017,,8
2148,13,2016,32,1
4722,13,2016,,2
5010,13,2016,,4
5028,13,2016,,4
1636,13,2016,,8
3130,13,2016,,8
4175,13,2016,,8
4838,13,2016,,8
4722,13,2015,16,1
3478,13,2015,,2
4458,13,2015,,4
3076,13,2015,,4
4838,13,2015,,8
1690,13,2015,,8
5028,13,2015,,8
4041,13,2015,,8
4722,13,2014,8,1
5028,13,2014,,2
3478,13,2014,,4
3720,13,2014,,4
4838,13,2014,,8
4458,13,2014,,8
2325,13,2014,,8
5067,13,2014,,8
2148,13,2013,1,1
2558,13,2013,,2
4838,13,2013,,4
5010,13,2013,,4
4722,13,2013,,8
1184,13,2013,,8
2426,13,2013,,8
1690,13,2013,,8
2654,15,2017,1,1
5096,15,2017,,2
1191,15,2017,,4
1096,15,2017,,4
1154,15,2017,,8
4455,15,2017,,8
3497,15,2017,,8
276,15,2017,,8
2654,15,2016,16,1
4455,15,2016,,2
1096,15,2016,,4
3816,15,2016,,4
1171,15,2016,,8
4855,15,2016,,8
2309,15,2016,,8
3320,15,2016,,8
2654,15,2015,8,1
4075,15,2015,,2
5096,15,2015,,4
3046,15,2015,,4
1855,15,2015,,8
1180,15,2015,,8
1097,15,2015,,8
4455,15,2015,,8
1096,15,2014,32,1
3320,15,2014,,2
1683,15,2014,,4
3816,15,2014,,4
4380,15,2014,,8
4104,15,2014,,8
3319,15,2014,,8
3252,15,2014,,8
5096,15,2013,64,1
3461,15,2013,,2
4455,15,2013,,4
4358,15,2013,,4
3231,15,2013,,8
555,15,2013,,8
3320,15,2013,,8
3955,15,2013,,8
2588,9,2017,64,1
3324,9,2017,,2
681,9,2017,,4
4910,9,2017,,4
890,9,2017,,8
3943,9,2017,,8
1659,9,2017,,8
3455,9,2017,,8
2588,9,2016,8,1
890,9,2016,,2
3780,9,2016,,4
3324,9,2016,,4
2081,9,2016,,8
681,9,2016,,8
3452,9,2016,,8
2547,9,2016,,8
3943,9,2015,64,1
3324,9,2015,,2
2588,9,2015,,4
175,9,2015,,4
1251,9,2015,,8
4480,9,2015,,8
4598,9,2015,,8
483,9,2015,,8
3322,9,2014,32,1
3943,9,2014,,2
2134,9,2014,,4
4601,9,2014,,4
2899,9,2014,,8
2498,9,2014,,8
2588,9,2014,,8
175,9,2014,,8
2588,9,2013,16,1
3324,9,2013,,2
3943,9,2013,,4
3322,9,2013,,4
1251,9,2013,,8
741,9,2013,,8
5002,9,2013,,8
4480,9,2013,,8
4024,60,2017,16,1
1956,60,2017,,2
1715,60,2017,,4
5008,60,2017,,4
4005,60,2017,,8
3197,60,2017,,8
4869,60,2017,,8
3391,60,2017,,8
1715,60,2016,64,1
5008,60,2016,,2
