schoolId,prefectureId,year,prize,last,representative
2995,49,2017,銀賞,支部,False
3318,49,2017,銀賞,支部,False
80,51,2017,金賞,支部,False
4315,55,2017,銀賞,支部,False
4932,49,2017,金賞,支部,False
1825,50,2017,銀賞,支部,False
4889,51,2017,金賞,支部,False
2771,52,2017,銅賞,支部,False
5071,53,2017,銅賞,支部,False
4329,48,2017,銅賞,支部,False
2020,57,2017,銅賞,支部,False
4669,49,2017,銀賞,支部,False
3363,54,2017,銀賞,支部,False
4935,48,2017,銅賞,支部,False
4381,53,2017,金賞,支部,False
2618,50,2017,銀賞,支部,False
2764,49,2017,銅賞,全国,False
1104,49,2017,金賞,全国,False
422,47,2017,銀賞,支部,False
5059,51,2017,銀賞,支部,False
1071,47,2017,金賞,支部,False
3700,55,2017,銅賞,支部,False
3557,49,2016,金賞,支部,False
5071,53,2016,銅賞,支部,False
5059,51,2016,銅賞,支部,False
4669,49,2016,銀賞,支部,False
2995,49,2016,銀賞,支部,False
4381,53,2016,金賞,支部,False
4315,55,2016,銀賞,支部,False
4612,47,2016,銀賞,支部,False
4329,48,2016,銀賞,支部,False
4946,49,2016,金賞,支部,False
80,51,2016,銀賞,支部,False
1332,48,2016,銀賞,支部,False
2415,47,2016,銀賞,支部,False
2020,57,2016,銅賞,支部,False
2618,50,2016,銅賞,支部,False
2764,49,2016,銀賞,全国,False
3700,55,2016,銅賞,支部,False
1104,49,2016,金賞,全国,False
1825,50,2016,銀賞,支部,False
3363,54,2016,金賞,支部,False
4889,51,2016,金賞,支部,False
2771,52,2016,銅賞,支部,False
2771,52,2015,銅賞,支部,False
2952,51,2015,銀賞,支部,False
4329,48,2015,銅賞,支部,False
1825,50,2015,銅賞,支部,False
4946,49,2015,銀賞,支部,False
5059,51,2015,銅賞,支部,False
4932,49,2015,銀賞,支部,False
3700,55,2015,銅賞,支部,False
4669,49,2015,金賞,支部,False
2764,49,2015,銅賞,全国,False
4612,47,2015,金賞,支部,False
3363,54,2015,銀賞,支部,False
1104,49,2015,金賞,全国,False
4315,55,2015,銀賞,支部,False
3557,49,2015,金賞,支部,False
4889,51,2015,金賞,支部,False
5071,53,2015,銀賞,支部,False
1332,48,2015,銅賞,支部,False
2415,47,2015,銀賞,支部,False
4381,53,2015,金賞,支部,False
2995,49,2014,銅賞,支部,False
65,50,2014,銀賞,支部,False
1316,53,2014,銀賞,支部,False
3557,49,2014,銀賞,支部,False
3363,54,2014,銀賞,支部,False
4315,55,2014,銀賞,支部,False
4932,49,2014,金賞,支部,False
2764,49,2014,銀賞,全国,False
4946,49,2014,銀賞,支部,False
1332,48,2014,銅賞,支部,False
1104,49,2014,金賞,全国,False
4752,48,2014,銅賞,支部,False
2952,51,2014,金賞,支部,False
4381,53,2014,金賞,支部,False
5059,51,2014,銅賞,支部,False
2771,52,2014,銅賞,支部,False
4889,51,2014,金賞,支部,False
1316,53,2013,銅賞,支部,False
103,48,2013,銀賞,支部,False
5059,51,2013,銅賞,支部,False
2764,49,2013,銀賞,全国,False
3557,49,2013,金賞,支部,False
4612,47,2013,銀賞,支部,False
2952,51,2013,金賞,支部,False
4315,55,2013,銀賞,支部,False
1825,50,2013,銀賞,支部,False
2173,49,2013,銅賞,支部,False
4932,49,2013,銀賞,支部,False
2995,49,2013,銅賞,支部,False
4381,53,2013,金賞,支部,False
3363,54,2013,銀賞,支部,False
4946,49,2013,銅賞,支部,False
4889,51,2013,金賞,支部,False
1332,48,2013,銀賞,支部,False
