id,name
0,北海道
1,青森県
2,岩手県
3,宮城県
4,秋田県
5,山形県
6,福島県
7,栃木県
8,茨城県
9,千葉県
10,東京都
11,神奈川県
12,新潟県
13,群馬県
14,山梨県
15,埼玉県
16,愛知県
17,三重県
18,岐阜県
19,長野県
20,静岡県
21,福井県
22,石川県
23,富山県
24,大阪府
25,京都府
26,兵庫県
27,滋賀県
28,奈良県
29,和歌山県
30,広島県
31,岡山県
32,山口県
33,鳥取県
34,島根県
35,香川県
36,高知県
37,愛媛県
38,徳島県
39,福岡県
40,佐賀県
41,長崎県
42,熊本県
43,鹿児島県
44,宮崎県
45,大分県
46,沖縄県
47,函館地区
48,日胆地区
49,札幌地区
50,空知地区
51,旭川地区
52,名寄地区
53,北見地区
54,釧路地区
55,帯広地区
56,留萌地区
57,稚内地区
58,北北海道
59,南北海道
60,東東京
61,西東京
