fullName,nationalBest,prefecture,regionalBest,shortName,year
北海道滝川西高等学校,64,北北海道,1,滝川西,2017
白樺学園高等学校,,北北海道,2,白樺学園,2017
旭川龍谷高等学校,,北北海道,4,旭川龍谷,2017
旭川大学高等学校,,北北海道,4,旭川大高,2017
武修館高等学校,,北北海道,8,武修館,2017
北海道網走南ケ丘高等学校,,北北海道,8,網走南ヶ丘,2017
北海道釧路北陽高等学校,,北北海道,8,釧路北陽,2017
帯広大谷高等学校,,北北海道,8,帯広大谷,2017
クラーク記念国際高等学校,32,北北海道,1,クラーク記念国際,2016
北海道滝川西高等学校,,北北海道,2,滝川西,2016
,,北北海道,4,江陵,2016
旭川実業高等学校,,北北海道,4,旭川実,2016
北海道釧路工業高等学校,,北北海道,8,釧路工,2016
旭川大学高等学校,,北北海道,8,旭川大高,2016
北海道釧路湖陵高等学校,,北北海道,8,釧路湖陵,2016
北海道帯広柏葉高等学校,,北北海道,8,帯広柏葉,2016
白樺学園高等学校,64,北北海道,1,白樺学園,2015
旭川実業高等学校,,北北海道,2,旭川実,2015
北海道北見工業高等学校,,北北海道,4,北見工,2015
武修館高等学校,,北北海道,4,武修館,2015
北海道旭川西高等学校,,北北海道,8,旭川西,2015
稚内大谷高等学校,,北北海道,8,稚内大谷,2015
北海道岩見沢緑陵高等学校,,北北海道,8,岩見沢緑陵,2015
北海道北見北斗高等学校,,北北海道,8,北見北斗,2015
武修館高等学校,32,北北海道,1,武修館,2014
北海道釧路工業高等学校,,北北海道,2,釧路工,2014
旭川大学高等学校,,北北海道,4,旭川大高,2014
北海道北見北斗高等学校,,北北海道,4,北見北斗,2014
北海道天塩高等学校,,北北海道,8,天塩,2014
北海道遠軽高等学校,,北北海道,8,遠軽,2014
北海道岩見沢東高等学校,,北北海道,8,岩見沢東,2014
北海道網走桂陽高等学校,,北北海道,8,網走桂陽,2014
帯広大谷高等学校,64,北北海道,1,帯広大谷,2013
北海道旭川南高等学校,,北北海道,2,旭川南,2013
北海道帯広三条高等学校,,北北海道,4,帯広三条,2013
旭川龍谷高等学校,,北北海道,4,旭川龍谷,2013
北海道滝川西高等学校,,北北海道,8,滝川西,2013
,,北北海道,8,駒大岩見沢,2013
北海道帯広柏葉高等学校,,北北海道,8,帯広柏葉,2013
北海道旭川工業高等学校,,北北海道,8,旭川工,2013
北海高等学校,32,南北海道,1,北海,2017
東海大学付属札幌高等学校,,南北海道,2,東海大札幌,2017
札幌大谷高等学校,,南北海道,4,札幌大谷,2017
北海道函館工業高等学校,,南北海道,4,函館工,2017
札幌日本大学高等学校,,南北海道,8,札幌日大,2017
駒澤大学附属苫小牧高等学校,,南北海道,8,駒大苫小牧,2017
函館大学付属有斗高等学校,,南北海道,8,函館大有斗,2017
北海道栄高等学校,,南北海道,8,北海道栄,2017
北海高等学校,2,南北海道,1,北海,2016
札幌日本大学高等学校,,南北海道,2,札幌日大,2016
東海大学付属札幌高等学校,,南北海道,4,東海大札幌,2016
札幌第一高等学校,,南北海道,4,札幌第一,2016
北海道札幌丘珠高等学校,,南北海道,8,札幌丘珠,2016
北照高等学校,,南北海道,8,北照,2016
北海学園札幌高等学校,,南北海道,8,北海学園札幌,2016
北海道栄高等学校,,南北海道,8,北海道栄,2016
北海高等学校,64,南北海道,1,北海,2015
北照高等学校,,南北海道,2,北照,2015
北海道小樽潮陵高等学校,,南北海道,4,小樽潮陵,2015
東海大札幌,,南北海道,4,東海大四,2015
函館大学付属有斗高等学校,,南北海道,8,函館大有斗,2015
北海道苫小牧東高等学校,,南北海道,8,苫小牧東,2015
札幌大谷高等学校,,南北海道,8,札幌大谷,2015
駒澤大学附属苫小牧高等学校,,南北海道,8,駒大苫小牧,2015
東海大札幌,32,南北海道,1,東海大四,2014
北海道小樽潮陵高等学校,,南北海道,2,小樽潮陵,2014
北海道浦河高等学校,,南北海道,4,浦河,2014
札幌日本大学高等学校,,南北海道,4,札幌日大,2014
札幌創成高等学校,,南北海道,8,札幌創成,2014
札幌第一高等学校,,南北海道,8,札幌第一,2014
北海道恵庭南高等学校,,南北海道,8,恵庭南,2014
駒澤大学附属苫小牧高等学校,,南北海道,8,駒大苫小牧,2014
北照高等学校,64,南北海道,1,北照,2013
駒澤大学附属苫小牧高等学校,,南北海道,2,駒大苫小牧,2013
函館大学付属有斗高等学校,,南北海道,4,函館大有斗,2013
函館大学付属柏稜高等学校,,南北海道,4,函館大柏稜,2013
北海道函館中部高等学校,,南北海道,8,函館中部,2013
東海大札幌,,南北海道,8,東海大四,2013
札幌光星高等学校,,南北海道,8,札幌光星,2013
北海道栄高等学校,,南北海道,8,北海道栄,2013
青森山田高等学校,16,青森,1,青森山田,2017
八戸学院光星高等学校,,青森,2,八戸学院光星,2017
弘前学院聖愛高等学校,,青森,4,弘前学院聖愛,2017
八戸工業大学第一高等学校,,青森,4,八戸工大一,2017
弘前東高等学校,,青森,8,弘前東,2017
東奥義塾高等学校,,青森,8,東奥義塾,2017
県立青森中央高等学校,,青森,8,青森中央,2017
県立青森東高等学校,,青森,8,青森東,2017
八戸学院光星高等学校,32,青森,1,八戸学院光星,2016
県立大湊高等学校,,青森,2,大湊,2016
弘前学院聖愛高等学校,,青森,4,弘前学院聖愛,2016
県立八戸西高等学校,,青森,4,八戸西,2016
県立青森商業高等学校,,青森,8,青森商,2016
弘前東高等学校,,青森,8,弘前東,2016
八戸工業大学第一高等学校,,青森,8,八戸工大一,2016
県立弘前工業高等学校,,青森,8,弘前工,2016
県立三沢商業高等学校,32,青森,1,三沢商,2015
八戸学院光星高等学校,,青森,2,八戸学院光星,2015
県立青森高等学校,,青森,4,青森,2015
県立三本木高等学校,,青森,4,三本木,2015
